|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
49|1822|федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный экономический университет»|Свердловская область|г. Екатеринбург|Государственный головной ВУЗ|620219, Свердловская область, г. Екатеринбург, ул. 8 Марта/Народной Воли, д. 62/45|1995 от 15.03.2016 (Бессрочная)|['020303', '040601', '090207', '090301', '090303', '090403', '100301', '150302', '190301', '190303', '190304', '190404', '190601', '210205', '210302', '270302', '270402', '380201', '380204', '380207', '380301', '380302', '380303', '380304', '380305', '380306', '380307', '380401', '380402', '380403', '380404', '380405', '380406', '380408', '380601', '400301', '430211', '430301', '430302', '430303']
50|2321|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Тверской государственный технический университет» в г. Ржеве Тверской области|Тверская область|г. Ржев|Негосударственный филиал|172390, Тверская область, г. Ржев, ул. Ленина, д. 5|1889 от 21.01.2016 (Бессрочная)|['090303', '150305', '230303', '380301', '380302', '380501']
51|1994|Смоленский филиал частного образовательного учреждения высшего образования Современная гуманитарная академия|Смоленская область|г. Смоленск|Негосударственный филиал|214025, Смоленская область, г. Смоленск, ул. Багратиона, д. 63|2370 от 06.09.2016 (Бессрочная)|['030300', '030500', '031100', '080100', '080500', '230100']
52|1902|Образовательное частное учреждение высшего образования «Российская международная академия туризма»|Московская область|г. Химки|Негосударственный головной ВУЗ|141420, г. Химки Московской области, микрорайон Сходня, Октябрьская улица, дом 10|1935 от 15.02.2016 (Бессрочная)|['070303', '380201', '380203', '380302', '380303', '380304', '380402', '400201', '400301', '430210', '430211', '430214', '430302', '440302', '440601']
53|1037|федеральное казенное образовательное учреждение высшего образования «Пермский институт Федеральной службы исполнения наказаний»|Пермский край|г. Пермь|Государственный головной ВУЗ|614012, Пермский край, г. Пермь, ул. Карпинского, д. 125|2005 от 17.03.2016 (Бессрочная)|['360302', '400301', '400401', '400502']
54|773|федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»|Брянская область|г. Брянск|Государственный головной ВУЗ|241035, Брянская область, г. Брянск, бульвар 50 лет Октября, д. 7|2287 от 22.07.2016 (Бессрочная)|['010601', '020303', '030601', '090203', '090301', '090302', '090303', '090304', '090401', '090402', '090403', '090404', '090601', '100301', '100401', '100503', '100504', '100601', '110301', '110304', '110404', '130301', '130302', '130303', '130401', '130402', '130403', '130601', '150201', '150207', '150208', '150301', '150302', '150303', '150304', '150305', '150306', '150401', '150402', '150403', '150404', '150405', '150501', '150601', '200301', '200401', '200601', '220301', '220401', '220601', '230301', '230302', '230303', '230401', '230501', '230503', '230601', '270301', '270302', '270304', '270305', '270401', '270402', '270405', '270601', '380201', '380301', '380302', '380305', '380306']
55|1530|Филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)» в г. Новочебоксарске|Чувашская Республика - Чувашия|г. Новочебоксарск|Государственный филиал|429951, Чувашская Республика-Чувашия, г. Новочебоксарск, ул. Терешковой, д. 18а|1869 от 30.12.2015 (Бессрочная)|['032101', '032101', '490301']
56|2665|Филиал Частного образовательного учреждения высшего образования «Московский университет имени С.Ю. Витте» в г. Ростове-на-Дону|Ростовская область|г. Ростов-на-Дону|Негосударственный филиал|344013, Ростовская область, город Ростов-на-Дону, ул. Нефедова, дом 78|0984 от 21.04.2014 (Бессрочная)|['030900', '080100', '080200', '380301', '380302', '400201', '400201', '400201', '400301', '430211', '430211', '430211']
57|5574|Ухтинский техникум железнодорожного транспорта - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Петербургский государственный университет путей сообщения Императора Александра I»|Республика Коми|г. Ухта|Негосударственный филиал|169300, Республика Коми, г. Ухта, ул. Мира, д. 11|2280 от 21.07.2016 (Бессрочная)|['080210', '110206', '230201', '270203']
58|571|Негосударственное частное учреждение - образовательная организация высшего образования «Миссионерский институт»|Свердловская область|г. Екатеринбург|Негосударственный головной ВУЗ|Российская Федерация, Свердловская область, город Екатеринбург, улица Карла Маркса, дом 12|1295 от 27.02.2015 (Бессрочная)|['480301']
59|2112|федеральное государственное бюджетное образовательное учреждение высшего образования «Оренбургский государственный университет»|Оренбургская область|г. Оренбург|Государственный головной ВУЗ|460018, Оренбургская область, г. Оренбург, просп. Победы, д. 13|1962 от 25.02.2016 (Бессрочная)|['010302', '010304', '010305', '010402', '010405', '010601', '020301', '020302', '020402', '020601', '030302', '030303', '030402', '030601', '040301', '040401', '040501', '040601', '050302', '050306', '050402', '050406', '050601', '060301', '060302', '060401', '060501', '060601', '070301', '070303', '080208', '080301', '080401', '080601', '090201', '090203', '090204', '090301', '090302', '090303', '090304', '090401', '090402', '090404', '090601', '100205', '100301', '100501', '110202', '110216', '110302', '110303', '110304', '110404', '120304', '130207', '130301', '130302', '130402', '130601', '150207', '150208', '150214', '150215', '150301', '150302', '150304', '150305', '150306', '150401', '150402', '150404', '150405', '150601', '180301', '180302', '180601', '190302', '190303', '190304', '190402', '190403', '190404', '190601', '200301', '200401', '210205', '210302', '210502', '220301', '220601', '230301', '230303', '230401', '230403', '230501', '230601', '240201', '240301', '240304', '240401', '240404', '270301', '270302', '270303', '270304', '270402', '270403', '270404', '350308', '370301', '370502', '370601', '380201', '380207', '380301', '380302', '380303', '380304', '380305', '380306', '380401', '380402', '380403', '380404', '380405', '380408', '380501', '380502', '380601', '390301', '400201', '400202', '400301', '400401', '400502', '400601', '410306', '420301', '420302', '420303', '430301', '430302', '430401', '430402', '440206', '440301', '440304', '440401', '440402', '440601', '450301', '450302', '450401', '450402', '450601', '460301', '460401', '460601', '470301', '470601', '510401', '540301']
